label,statement,description,url,significance_0_3,notes
simp-5l,|- ( ( ( ( ( ( ph /\ ps ) /\ ch ) /\ th ) /\ ta ) /\ et ) -> ph ),"Simplification of a conjunction. (Contributed by Mario Carneiro, 4-Jan-2017.) (Proof shortened by Wolf Lammen, 24-May-2022.)",https://us.metamath.org/mpeuni/simp-5l.html,,
simpl12,|- ( ( ( ( ph /\ ps /\ ch ) /\ th /\ ta ) /\ et ) -> ps ),"Simplification of conjunction. (Contributed by NM, 9-Mar-2012.) (Proof shortened by Wolf Lammen, 24-Jun-2022.)",https://us.metamath.org/mpeuni/simpl12.html,,
jaoa,|- ( ( ph \/ th ) -> ( ( ps /\ ta ) -> ch ) ),"Inference disjoining and conjoining the antecedents of two implications. (Contributed by Stefan Allan, 1-Nov-2008.)",https://us.metamath.org/mpeuni/jaoa.html,,
con2d,|- ( ph -> ( ch -> -. ps ) ),"A contraposition deduction. (Contributed by NM, 19-Aug-1993.)",https://us.metamath.org/mpeuni/con2d.html,,
mercolem5,|- ( th -> ( ( th -> ph ) -> ( ta -> ( ch -> ph ) ) ) ),"Used to rederive the Tarski-Bernays-Wajsberg axioms from ~ merco2 . (Contributed by Anthony Hart, 16-Aug-2011.) (Proof modification is discouraged.) (New usage is discouraged.)",https://us.metamath.org/mpeuni/mercolem5.html,,
ts3an1,|- ( th -> ( ( -. ( ph /\ ps ) \/ -. ch ) \/ ( ph /\ ps /\ ch ) ) ),"A Tseitin axiom for triple logical conjunction, in deduction form. (Contributed by Giovanni Mascellani, 25-Mar-2018.)",https://us.metamath.org/mpeuni/ts3an1.html,,
pm2.42,|- ( ( -. ph \/ ( ph -> ps ) ) -> ( ph -> ps ) ),"Theorem *2.42 of [WhiteheadRussell] p. 106. (Contributed by NM, 3-Jan-2005.)",https://us.metamath.org/mpeuni/pm2.42.html,,
bj-currypara,|- ( ( ph <-> ( ph -> ps ) ) -> ps ),"Curry's paradox. Note that the proof is intuitionistic (use of ~ ax-3 comes from the unusual definition of the biconditional in set.mm). The paradox comes from the case where ` ph ` is the self-referential sentence ""If this sentence is true, then ` ps ` "", so that one can prove everything. Therefore, a consistent system cannot allow the formation of such self-referential sentences. This has lead t",https://us.metamath.org/mpeuni/bj-currypara.html,,
cases,|- ( ps <-> ( ( ph /\ ch ) \/ ( -. ph /\ th ) ) ),"Case disjunction according to the value of ` ph ` . (Contributed by NM, 25-Apr-2019.)",https://us.metamath.org/mpeuni/cases.html,,
iba,|- ( ph -> ( ps <-> ( ps /\ ph ) ) ),"Introduction of antecedent as conjunct. Theorem *4.73 of [WhiteheadRussell] p. 121. (Contributed by NM, 30-Mar-1994.)",https://us.metamath.org/mpeuni/iba.html,,
2a1d,|- ( ph -> ( ch -> ( th -> ps ) ) ),"Deduction introducing two antecedents. Two applications of ~ a1d . Deduction associated with ~ 2a1 and ~ 2a1i . (Contributed by BJ, 10-Aug-2020.)",https://us.metamath.org/mpeuni/2a1d.html,,
simp2r1,|- ( ( ta /\ ( th /\ ( ph /\ ps /\ ch ) ) /\ et ) -> ph ),"Simplification of conjunction. (Contributed by NM, 9-Mar-2012.)",https://us.metamath.org/mpeuni/simp2r1.html,,
3anim1i,|- ( ( ph /\ ch /\ th ) -> ( ps /\ ch /\ th ) ),"Add two conjuncts to antecedent and consequent. (Contributed by Jeff Hankins, 16-Aug-2009.)",https://us.metamath.org/mpeuni/3anim1i.html,,
simp12l,|- ( ( ( ch /\ ( ph /\ ps ) /\ th ) /\ ta /\ et ) -> ph ),"Simplification of conjunction. (Contributed by NM, 9-Mar-2012.)",https://us.metamath.org/mpeuni/simp12l.html,,
