label,statement,description,url,significance_0_3,notes
bccld,|- ( ph -> ( N _C K ) e. NN0 ),"A binomial coefficient, in its extended domain, is a nonnegative integer. (Contributed by Glauco Siliprandi, 5-Apr-2020.)",https://us.metamath.org/mpeuni/bccld.html,,
s1cl,"|- ( A e. B -> <"" A ""> e. Word B )","A singleton word is a word. (Contributed by Stefan O'Rear, 15-Aug-2015.) (Revised by Mario Carneiro, 26-Feb-2016.) (Proof shortened by AV, 23-Nov-2018.)",https://us.metamath.org/mpeuni/s1cl.html,,
bastop,|- ( B e. TopBases -> ( B e. Top <-> ( topGen ` B ) = B ) ),"Two ways to express that a basis is a topology. (Contributed by NM, 18-Jul-2006.)",https://us.metamath.org/mpeuni/bastop.html,,
f1of,|- ( F : A -1-1-onto-> B -> F : A --> B ),"A one-to-one onto mapping is a mapping. (Contributed by NM, 12-Dec-2003.)",https://us.metamath.org/mpeuni/f1of.html,,
lcmfdvdsb,|- ( ( K e. ZZ /\ Z C_ ZZ /\ Z e. Fin ) -> ( A. m e. Z m || K <-> ( _lcm ` Z ) || K ) ),"Biconditional form of ~ lcmfdvds . (Contributed by AV, 26-Aug-2020.)",https://us.metamath.org/mpeuni/lcmfdvdsb.html,,
sneqbg,|- ( A e. V -> ( { A } = { B } <-> A = B ) ),"Two singletons of sets are equal iff their elements are equal. (Contributed by Scott Fenton, 16-Apr-2012.)",https://us.metamath.org/mpeuni/sneqbg.html,,
fnwe2lem3,|- ( ph -> ( a T b \/ a = b \/ b T a ) ),"Lemma for ~ fnwe2 . Trichotomy. (Contributed by Stefan O'Rear, 19-Jan-2015.)",https://us.metamath.org/mpeuni/fnwe2lem3.html,,
funimaex,"|- ( Fun A -> ( A "" B ) e. _V )","The image of a set under any function is also a set. Equivalent of Axiom of Replacement ~ ax-rep . Axiom 39(vi) of [Quine] p. 284. Compare Exercise 9 of [TakeutiZaring] p. 29. (Contributed by NM, 17-Nov-2002.)",https://us.metamath.org/mpeuni/funimaex.html,,
3jao,|- ( ( ( ph -> ps ) /\ ( ch -> ps ) /\ ( th -> ps ) ) -> ( ( ph \/ ch \/ th ) -> ps ) ),"Disjunction of three antecedents. (Contributed by NM, 8-Apr-1994.)",https://us.metamath.org/mpeuni/3jao.html,,
iununi,|- ( ( B = (/) -> A = (/) ) <-> ( A u. U. B ) = U_ x e. B ( A u. x ) ),"A relationship involving union and indexed union. Exercise 25 of [Enderton] p. 33. (Contributed by NM, 25-Nov-2003.) (Proof shortened by Mario Carneiro, 17-Nov-2016.)",https://us.metamath.org/mpeuni/iununi.html,,
pridlidl,|- ( ( R e. RingOps /\ P e. ( PrIdl ` R ) ) -> P e. ( Idl ` R ) ),"Obsolete theorem, use ~ prmidlidl instead. A prime ideal is an ideal. (Contributed by Jeff Madsen, 19-Jun-2010.) (Proof modification is discouraged.) (New usage is discouraged.)",https://us.metamath.org/mpeuni/pridlidl.html,,
evlselv,|- ( ph -> ( ( ( ( I \ J ) eval R ) ` ( ( ( J eval U ) ` ( ( ( I selectVars R ) ` J ) ` F ) ) ` ( L o. ( A |` J ) ) ) ) ` ( A |` ( I \ J ) ) ) = ( ( ( I eval R ) ` F ) ` A ) ),"Evaluating a selection of variable assignments, then evaluating the rest of the variables, is the same as evaluating with all assignments. (Contributed by SN, 10-Mar-2025.)",https://us.metamath.org/mpeuni/evlselv.html,,
lcfl5a,|- ( ph -> ( ( ._|_ ` ( ._|_ ` ( L ` G ) ) ) = ( L ` G ) <-> ( L ` G ) e. ran I ) ),"Property of a functional with a closed kernel. TODO: Make ~ lcfl5 etc. obsolete and rewrite without ` C ` hypothesis? (Contributed by NM, 29-Jan-2015.)",https://us.metamath.org/mpeuni/lcfl5a.html,,
reseq2d,|- ( ph -> ( C |` A ) = ( C |` B ) ),"Equality deduction for restrictions. (Contributed by Paul Chapman, 22-Jun-2011.)",https://us.metamath.org/mpeuni/reseq2d.html,,
bj-dfbi5,|- ( ( ph <-> ps ) <-> ( ( ph \/ ps ) -> ( ph /\ ps ) ) ),"Alternate definition of the biconditional. (Contributed by BJ, 4-Oct-2019.)",https://us.metamath.org/mpeuni/bj-dfbi5.html,,
phival,|- ( N e. NN -> ( phi ` N ) = ( # ` { x e. ( 1 ... N ) | ( x gcd N ) = 1 } ) ),"Value of the Euler ` phi ` function. (Contributed by Mario Carneiro, 23-Feb-2014.)",https://us.metamath.org/mpeuni/phival.html,,
ltlen,|- ( ( A e. RR /\ B e. RR ) -> ( A < B <-> ( A <_ B /\ B =/= A ) ) ),"'Less than' expressed in terms of 'less than or equal to'. (Contributed by NM, 27-Oct-1999.)",https://us.metamath.org/mpeuni/ltlen.html,,
cbvcllem,|- { x | ( X C_ x /\ ph ) } = { y | ( X C_ y /\ ps ) },"Change of bound variable in class of supersets of a with a property. (Contributed by RP, 24-Jul-2020.)",https://us.metamath.org/mpeuni/cbvcllem.html,,
ssnlim,|- ( ( Ord A /\ A C_ { x e. On | -. Lim x } ) -> A C_ _om ),"An ordinal subclass of non-limit ordinals is a class of natural numbers. Exercise 7 of [TakeutiZaring] p. 42. (Contributed by NM, 2-Nov-2004.)",https://us.metamath.org/mpeuni/ssnlim.html,,
cos9thpinconstr,|- ( O e. Constr /\ Z e/ Constr ),"Trisecting an angle is an impossible construction. Given for example ` O = ( exp `` ( ( _i x. ( 2 x. _pi ) ) / 3 ) ) ` , which represents an angle of ` ( ( 2 x. _pi ) / 3 ) ` , the cube root of ` O ` is not constructible with straightedge and compass, while ` O ` itself is constructible. Theorem 7.14 of [Stewart] p. 99. (Contributed by Thierry Arnoux and Saveliy Skresanov, 15-Nov-2025.)",https://us.metamath.org/mpeuni/cos9thpinconstr.html,,
fullsubc,|- ( ph -> ( H |` ( S X. S ) ) e. ( Subcat ` C ) ),"The full subcategory generated by a subset of objects is the category with these objects and the same morphisms as the original. The result is always a subcategory (and it is full, meaning that all morphisms of the original category between objects in the subcategory is also in the subcategory), see definition 4.1(2) of [Adamek] p. 48. (Contributed by Mario Carneiro, 4-Jan-2017.)",https://us.metamath.org/mpeuni/fullsubc.html,,
